qid,docid,docno,rank,score,query,features
64814,6126,67356,23,14.297174139237283,Derek recommends that George express his feelings to Meredith,[6.47197443 6.89978214]
64814,7330,80388,24,14.28580057858937,Derek recommends that George express his feelings to Meredith,[6.39106926 7.00568293]
64814,2302,25324,25,14.238018590481289,Derek recommends that George express his feelings to Meredith,[5.64028636 8.22769402]
64814,6045,66532,26,14.145779040900464,Derek recommends that George express his feelings to Meredith,[6.18178372 5.94051346]
64814,1430,16045,27,14.10449386864477,Derek recommends that George express his feelings to Meredith,[6.6320368  4.83874923]
64814,6970,76542,28,14.06560844288597,Derek recommends that George express his feelings to Meredith,[6.89402555 5.72817125]
64814,5466,60102,29,14.054182431121994,Derek recommends that George express his feelings to Meredith,[6.17018586 5.06501504]
64814,7820,85682,30,14.051501656584794,Derek recommends that George express his feelings to Meredith,[6.25762968 5.99562175]
64814,4631,50948,31,14.02996671303233,Derek recommends that George express his feelings to Meredith,[6.17214841 6.18699394]
64814,7699,84332,32,13.97269617391268,Derek recommends that George express his feelings to Meredith,[6.10641971 6.19931207]
64814,1521,16937,33,13.928593550995627,Derek recommends that George express his feelings to Meredith,[6.27060879 6.24988345]
64814,3551,39266,34,13.589010605345756,Derek recommends that George express his feelings to Meredith,[5.29654746 7.49240176]
64814,819,9262,35,13.57246767542641,Derek recommends that George express his feelings to Meredith,[6.03303812 6.67139924]
64814,7292,79886,36,13.526543533953916,Derek recommends that George express his feelings to Meredith,[6.25351796 5.21557558]
64814,7580,83115,37,13.49219988766529,Derek recommends that George express his feelings to Meredith,[5.80659619 5.23162784]
64814,1576,17518,38,13.398650477604829,Derek recommends that George express his feelings to Meredith,[6.06625971 5.23567486]
64814,7306,80101,39,13.380001754724816,Derek recommends that George express his feelings to Meredith,[6.0722314 6.31677  ]
64814,1815,20115,40,13.335043178901728,Derek recommends that George express his feelings to Meredith,[6.58096963 7.13525327]
64814,7206,79005,41,13.331258998485808,Derek recommends that George express his feelings to Meredith,[5.68431291 5.97980265]
64814,719,8267,42,13.326259261403326,Derek recommends that George express his feelings to Meredith,[5.71705682 6.19609159]
64814,7136,78223,43,13.241319769663196,Derek recommends that George express his feelings to Meredith,[5.76400479 6.90143041]
64814,5225,57415,44,13.220906115289392,Derek recommends that George express his feelings to Meredith,[6.12053751 5.12588317]
64814,3525,38971,45,13.204962559041949,Derek recommends that George express his feelings to Meredith,[5.83933536 6.33103014]
64814,5073,55877,46,13.16000482646689,Derek recommends that George express his feelings to Meredith,[5.66585907 5.70753216]
64814,4099,45452,47,13.11511199913907,Derek recommends that George express his feelings to Meredith,[5.63006162 6.54484045]
64814,2550,27962,48,13.112134263688432,Derek recommends that George express his feelings to Meredith,[5.82557428 5.45625591]
64814,3521,38908,49,12.946575140376048,Derek recommends that George express his feelings to Meredith,[5.62937997 5.30102528]
64814,4146,45943,50,12.946575140376048,Derek recommends that George express his feelings to Meredith,[5.62937997 5.30102528]
64814,6952,76299,51,12.938892001177466,Derek recommends that George express his feelings to Meredith,[6.01027221 6.17549669]
64814,5994,65981,52,12.926189542678559,Derek recommends that George express his feelings to Meredith,[5.01781961 7.05329558]
64814,7316,80211,53,12.91871833594631,Derek recommends that George express his feelings to Meredith,[5.64387892 6.60210214]
64814,5191,57113,54,12.903053706453168,Derek recommends that George express his feelings to Meredith,[5.49771376 6.16489627]
64814,7754,84901,55,12.84648349295004,Derek recommends that George express his feelings to Meredith,[5.51813751 6.84865231]
64814,2623,28837,56,12.841886160878204,Derek recommends that George express his feelings to Meredith,[5.71382385 5.36491504]
64814,905,10303,57,12.823991868207852,Derek recommends that George express his feelings to Meredith,[5.7628597  6.64958006]
64814,7432,81456,58,12.767096375644634,Derek recommends that George express his feelings to Meredith,[5.41577566 5.27619537]
64814,673,7718,59,12.732211139121882,Derek recommends that George express his feelings to Meredith,[5.35213069 5.31201559]
64814,648,7356,60,12.71354412707328,Derek recommends that George express his feelings to Meredith,[5.95151801 6.0721042 ]
64814,3740,41283,61,12.713250360258975,Derek recommends that George express his feelings to Meredith,[5.43122796 6.52552894]
64814,4636,50996,62,12.710204702173684,Derek recommends that George express his feelings to Meredith,[5.71222544 5.35368621]
64814,3867,42794,63,12.694206733143506,Derek recommends that George express his feelings to Meredith,[5.43717237 6.00710557]
64814,6829,74955,64,12.677425491819907,Derek recommends that George express his feelings to Meredith,[5.28108857 4.75206634]
64814,3813,42262,65,12.666884256843657,Derek recommends that George express his feelings to Meredith,[5.2335408  5.01533053]
64814,6683,73544,66,12.64276016471041,Derek recommends that George express his feelings to Meredith,[6.04734514 5.6705559 ]
64814,4567,50286,67,12.605432757685739,Derek recommends that George express his feelings to Meredith,[5.27151853 5.92874725]
64814,4336,47997,68,12.590657856394554,Derek recommends that George express his feelings to Meredith,[5.46823417 5.46833743]
64814,3247,35963,69,12.531503045024536,Derek recommends that George express his feelings to Meredith,[5.83932203 6.07395312]
64814,3405,37579,70,12.519137053625027,Derek recommends that George express his feelings to Meredith,[5.44989392 6.27452566]
64814,6049,66561,71,12.498345493430563,Derek recommends that George express his feelings to Meredith,[5.21905567 5.31402506]
64814,353,3918,72,12.474436303931586,Derek recommends that George express his feelings to Meredith,[5.25685621 6.11510299]
64814,5567,61067,73,12.449253403385207,Derek recommends that George express his feelings to Meredith,[5.67921016 5.28261331]
64814,1060,12015,74,12.449161854143265,Derek recommends that George express his feelings to Meredith,[5.33160773 5.33228859]
64814,1984,21848,75,12.426118867015301,Derek recommends that George express his feelings to Meredith,[5.25318391 5.69829632]
64814,5580,61194,76,12.395603962203488,Derek recommends that George express his feelings to Meredith,[4.96724815 7.28552773]
64814,4072,45075,77,12.35776562022285,Derek recommends that George express his feelings to Meredith,[5.18582496 6.32442071]
64814,1704,18900,78,12.330003214964075,Derek recommends that George express his feelings to Meredith,[5.15583639 6.08925917]
64814,1255,14180,79,12.29241853819681,Derek recommends that George express his feelings to Meredith,[5.89130937 4.91738378]
64814,7104,77951,80,12.284613923773842,Derek recommends that George express his feelings to Meredith,[5.33943625 5.73048879]
64814,2966,32666,81,12.273259306718284,Derek recommends that George express his feelings to Meredith,[5.09350299 5.30832809]
64814,7500,82248,82,12.181096940221986,Derek recommends that George express his feelings to Meredith,[5.22314119 6.18275539]
64814,3571,39486,83,12.164934137529231,Derek recommends that George express his feelings to Meredith,[5.89038272 4.69975967]
64814,3494,38656,84,12.05933778358477,Derek recommends that George express his feelings to Meredith,[5.01268866 5.27546262]
64814,5747,63118,85,12.05933778358477,Derek recommends that George express his feelings to Meredith,[5.01268866 5.27546262]
64814,861,9876,86,12.048824350542697,Derek recommends that George express his feelings to Meredith,[5.48082248 5.61901151]
64814,6275,68955,87,12.032231725904385,Derek recommends that George express his feelings to Meredith,[5.29558483 5.4237658 ]
64814,3404,37562,88,12.019292431103558,Derek recommends that George express his feelings to Meredith,[4.90005659 4.78319047]
64814,4580,50420,89,12.019292431103558,Derek recommends that George express his feelings to Meredith,[4.90005659 4.78319047]
64814,4239,46992,90,11.99002730302757,Derek recommends that George express his feelings to Meredith,[5.06851252 5.323826  ]
64814,5102,56134,91,11.881075094449322,Derek recommends that George express his feelings to Meredith,[5.11663916 5.45589858]
64814,6527,71821,92,11.857159169317462,Derek recommends that George express his feelings to Meredith,[5.72523877 4.74135997]
64814,2040,22435,93,11.82086654572063,Derek recommends that George express his feelings to Meredith,[4.6997676  6.95456695]
64814,3966,43861,94,11.774350453025471,Derek recommends that George express his feelings to Meredith,[5.13626849 5.53520777]
64814,5291,58087,95,11.715202223619524,Derek recommends that George express his feelings to Meredith,[4.73316036 4.7726609 ]
64814,1469,16375,96,11.703154208673137,Derek recommends that George express his feelings to Meredith,[5.92878072 4.55308428]
64814,6764,74282,97,11.65369680973847,Derek recommends that George express his feelings to Meredith,[4.76270974 5.78631792]
64814,1604,17797,98,11.63110333441552,Derek recommends that George express his feelings to Meredith,[4.77974815 5.24303123]
64814,4669,51325,99,11.566268570949338,Derek recommends that George express his feelings to Meredith,[5.20848989 5.31857228]
59469,4203,46583,0,13.541273785209103,Taub seems frustrated that they are no closer to,[6.17341579 8.05652221]
59469,1389,15668,1,12.864470897279437,Taub seems frustrated that they are no closer to,[6.54949674 4.18868138]
59469,1839,20308,2,11.823145049061191,Taub seems frustrated that they are no closer to,[5.97368903 5.70068606]
59469,4487,49592,3,11.466694974159664,Taub seems frustrated that they are no closer to,[5.77395526 6.04959003]
59469,6399,70387,4,10.695888338909425,Taub seems frustrated that they are no closer to,[5.29894146 4.69563711]
59469,1385,15632,5,9.756115446421758,Taub seems frustrated that they are no closer to,[4.80443772 4.71637385]
59469,7666,83951,6,9.3013768889788,Taub seems frustrated that they are no closer to,[4.52808391 2.910563  ]
59469,422,4623,7,9.289760290686583,Taub seems frustrated that they are no closer to,[4.52791813 3.28765472]
59469,1001,11358,8,9.227590185813677,Taub seems frustrated that they are no closer to,[4.51572005 3.74017269]
59469,6572,72265,9,9.19118493935908,Taub seems frustrated that they are no closer to,[4.43528908 3.04547865]
59469,6946,76254,10,9.083573274911624,Taub seems frustrated that they are no closer to,[4.34800654 3.15511367]
59469,459,5030,11,9.04604821742038,Taub seems frustrated that they are no closer to,[4.33310112 3.4822537 ]
59469,7656,83854,12,9.04604821742038,Taub seems frustrated that they are no closer to,[4.33310112 3.4822537 ]
59469,7783,85305,13,9.04604821742038,Taub seems frustrated that they are no closer to,[4.33310112 3.4822537 ]
59469,5126,56423,14,9.000179819747586,Taub seems frustrated that they are no closer to,[4.29191369 2.57352764]
59469,5398,59329,15,9.000179819747586,Taub seems frustrated that they are no closer to,[4.29191369 2.57352764]
59469,3649,40254,16,8.875736572236775,Taub seems frustrated that they are no closer to,[4.18746849 3.3180012 ]
59469,5107,56177,17,8.790649358778994,Taub seems frustrated that they are no closer to,[4.30825267 4.68648758]
59469,7936,86982,18,8.775344435948247,Taub seems frustrated that they are no closer to,[4.11322886 3.37824451]
59469,5324,58418,19,8.748475615796325,Taub seems frustrated that they are no closer to,[4.40315829 5.6116344 ]
59469,6215,68290,20,8.65196536940866,Taub seems frustrated that they are no closer to,[4.09077381 3.99958176]
59469,3092,34080,21,8.620041340977307,Taub seems frustrated that they are no closer to,[4.22122893 4.67725841]
59469,3421,37735,22,8.581222571490484,Taub seems frustrated that they are no closer to,[3.97491539 3.46837694]
59469,1579,17571,23,8.57216319378323,Taub seems frustrated that they are no closer to,[4.0267345  3.96741347]
59469,7888,86395,24,8.57216319378323,Taub seems frustrated that they are no closer to,[4.0267345  3.96741347]
59469,1882,20785,25,8.553654075458276,Taub seems frustrated that they are no closer to,[3.94330579 3.02612171]
59469,7830,85779,26,8.546540896562925,Taub seems frustrated that they are no closer to,[3.98646073 3.8263819 ]
59469,4210,46662,27,8.4720012581155,Taub seems frustrated that they are no closer to,[4.09540475 1.05096961]
59469,326,3503,28,8.414497968088888,Taub seems frustrated that they are no closer to,[3.84446636 3.10748784]
59469,917,10482,29,8.414497968088888,Taub seems frustrated that they are no closer to,[3.84446636 3.10748784]
59469,3975,43956,30,8.414497968088888,Taub seems frustrated that they are no closer to,[3.84446636 3.10748784]
59469,6552,72047,31,8.342058174860712,Taub seems frustrated that they are no closer to,[3.88932963 4.09285249]
59469,1672,18452,32,8.338139440255285,Taub seems frustrated that they are no closer to,[3.87540739 4.03582688]
59469,3837,42486,33,8.280968414333778,Taub seems frustrated that they are no closer to,[3.8435586  4.07006948]
59469,247,2585,34,8.273131962554457,Taub seems frustrated that they are no closer to,[3.80349661 3.8664616 ]
59469,3253,36002,35,8.252239622110876,Taub seems frustrated that they are no closer to,[3.77419985 3.75307464]
59469,1549,17329,36,8.203265681874152,Taub seems frustrated that they are no closer to,[3.81978494 1.78451404]
59469,3879,42899,37,8.203265681874152,Taub seems frustrated that they are no closer to,[3.81978494 1.78451404]
59469,6699,73741,38,8.184600257024277,Taub seems frustrated that they are no closer to,[3.76710934 4.00175015]
59469,691,7878,39,8.122643618796122,Taub seems frustrated that they are no closer to,[3.69108866 3.76604285]
59469,6075,66838,40,8.122643618796122,Taub seems frustrated that they are no closer to,[3.69108866 3.76604285]
59469,7549,82855,41,8.122643618796122,Taub seems frustrated that they are no closer to,[3.69108866 3.76604285]
59469,2953,32488,42,8.022931986437193,Taub seems frustrated that they are no closer to,[3.58420933 3.24829217]
59469,4718,52091,43,8.022931986437193,Taub seems frustrated that they are no closer to,[3.58420933 3.24829217]
59469,5068,55858,44,8.022931986437193,Taub seems frustrated that they are no closer to,[3.58420933 3.24829217]
59469,102,1046,45,7.951054755969809,Taub seems frustrated that they are no closer to,[3.60442193 2.16569198]
59469,3120,34372,46,7.951054755969809,Taub seems frustrated that they are no closer to,[3.60442193 2.16569198]
59469,1949,21452,47,7.923026744808645,Taub seems frustrated that they are no closer to,[3.60797246 4.03633209]
59469,6358,69962,48,7.900384691717599,Taub seems frustrated that they are no closer to,[3.50722038 3.27303154]
59469,3741,41287,49,7.781524801734969,Taub seems frustrated that they are no closer to,[3.43425259 3.29051415]
59469,7259,79508,50,7.7756374175016285,Taub seems frustrated that they are no closer to,[3.4915234  3.87600043]
59469,65,766,51,7.713889782906732,Taub seems frustrated that they are no closer to,[3.42546966 2.37595673]
59469,1311,14734,52,7.713889782906732,Taub seems frustrated that they are no closer to,[3.42546966 2.37595673]
59469,1535,17067,53,7.713889782906732,Taub seems frustrated that they are no closer to,[3.42546966 2.37595673]
59469,1559,17423,54,7.713889782906732,Taub seems frustrated that they are no closer to,[3.42546966 2.37595673]
59469,4059,45010,55,7.713889782906732,Taub seems frustrated that they are no closer to,[3.42546966 2.37595673]
59469,6992,76727,56,7.666188354216964,Taub seems frustrated that they are no closer to,[3.36491323 3.30221988]
59469,7251,79428,57,7.666188354216964,Taub seems frustrated that they are no closer to,[3.36491323 3.30221988]
59469,845,9551,58,7.642558191301129,Taub seems frustrated that they are no closer to,[3.39768604 3.77057719]
59469,689,7874,59,7.632051449160749,Taub seems frustrated that they are no closer to,[3.82602391 5.52355939]
59469,2922,32220,60,7.55422096579882,Taub seems frustrated that they are no closer to,[3.29886768 3.3092881 ]
59469,2406,26375,61,7.4904633821608035,Taub seems frustrated that they are no closer to,[3.27144503 2.49697125]
59469,4590,50558,62,7.4904633821608035,Taub seems frustrated that they are no closer to,[3.27144503 2.49697125]
59469,5055,55761,63,7.4904633821608035,Taub seems frustrated that they are no closer to,[3.27144503 2.49697125]
59469,6315,69414,64,7.4904633821608035,Taub seems frustrated that they are no closer to,[3.27144503 2.49697125]
59469,1434,16088,65,7.461553521121697,Taub seems frustrated that they are no closer to,[3.30580399 3.85275219]
59469,3794,42036,66,7.461553521121697,Taub seems frustrated that they are no closer to,[3.30580399 3.85275219]
59469,6143,67506,67,7.41874383884948,Taub seems frustrated that they are no closer to,[3.28106284 3.84824393]
59469,651,7368,68,7.360109642398707,Taub seems frustrated that they are no closer to,[3.21477465 3.59859695]
59469,4573,50358,69,7.33981964936178,Taub seems frustrated that they are no closer to,[3.17554421 3.31287517]
59469,6402,70399,70,7.338259650278791,Taub seems frustrated that they are no closer to,[3.56838912 4.57834864]
59469,5367,58943,71,7.334581445484065,Taub seems frustrated that they are no closer to,[3.23279214 3.83855392]
59469,430,4701,72,7.279615378292422,Taub seems frustrated that they are no closer to,[3.13581139 2.56746335]
59469,3898,43154,73,7.279615378292422,Taub seems frustrated that they are no closer to,[3.13581139 2.56746335]
59469,1995,21922,74,7.266747404133707,Taub seems frustrated that they are no closer to,[3.18114415 3.7394324 ]
59469,4879,53857,75,7.242712242943755,Taub seems frustrated that they are no closer to,[3.19005091 3.88698391]
59469,104,1079,76,7.237118931893077,Taub seems frustrated that they are no closer to,[3.11779773 3.31064995]
59469,4012,44527,77,7.1718582755092335,Taub seems frustrated that they are no closer to,[3.14078405 3.81693553]
59469,3661,40364,78,7.13725258688121,Taub seems frustrated that they are no closer to,[3.06239599 3.30637762]
59469,4328,47944,79,7.13725258688121,Taub seems frustrated that they are no closer to,[3.06239599 3.30637762]
59469,3839,42491,80,7.080312649899053,Taub seems frustrated that they are no closer to,[3.01443828 2.60750222]
59469,4595,50630,81,7.080312649899053,Taub seems frustrated that they are no closer to,[3.01443828 2.60750222]
59469,4946,54675,82,7.080312649899053,Taub seems frustrated that they are no closer to,[3.01443828 2.60750222]
59469,1561,17434,83,7.040104875337894,Taub seems frustrated that they are no closer to,[3.00916831 3.30041943]
59469,4673,51383,84,6.945566275115155,Taub seems frustrated that they are no closer to,[2.95796262 3.29306971]
59469,1145,13025,85,6.891632200551509,Taub seems frustrated that they are no closer to,[2.9045213  2.62829409]
59469,1150,13044,86,6.891632200551509,Taub seems frustrated that they are no closer to,[2.9045213  2.62829409]
59469,1406,15825,87,6.891632200551509,Taub seems frustrated that they are no closer to,[2.9045213  2.62829409]
59469,2009,22081,88,6.891632200551509,Taub seems frustrated that they are no closer to,[2.9045213  2.62829409]
59469,2744,30242,89,6.891632200551509,Taub seems frustrated that they are no closer to,[2.9045213  2.62829409]
59469,5882,64606,90,6.891632200551509,Taub seems frustrated that they are no closer to,[2.9045213  2.62829409]
59469,6907,75786,91,6.891632200551509,Taub seems frustrated that they are no closer to,[2.9045213  2.62829409]
59469,4556,50169,92,6.867152458274394,Taub seems frustrated that they are no closer to,[2.9727513  3.76751187]
59469,6179,67929,93,6.853533069019727,Taub seems frustrated that they are no closer to,[2.90864267 3.28456982]
59469,1440,16130,94,6.763906965245717,Taub seems frustrated that they are no closer to,[2.86108586 3.27511888]
59469,3855,42668,95,6.763906965245717,Taub seems frustrated that they are no closer to,[2.86108586 3.27511888]
59469,601,6768,96,6.7127468662852205,Taub seems frustrated that they are no closer to,[2.80405373 2.63648004]
59469,846,9567,97,6.7127468662852205,Taub seems frustrated that they are no closer to,[2.80405373 2.63648004]
59469,1391,15696,98,6.7127468662852205,Taub seems frustrated that they are no closer to,[2.80405373 2.63648004]
59469,2732,30078,99,6.7127468662852205,Taub seems frustrated that they are no closer to,[2.80405373 2.63648004]
84399,6371,70140,0,18.91505602004108,Beckett tells Castle to make less noise in the woods,[9.60836102 9.79017785]
84399,3567,39453,1,16.90899363382058,Beckett tells Castle to make less noise in the woods,[7.65468655 8.83817086]
84399,1728,19183,2,13.90572394086033,Beckett tells Castle to make less noise in the woods,[6.60709995 7.34640348]
84399,895,10256,3,13.47992768297997,Beckett tells Castle to make less noise in the woods,[6.92115795 5.54028242]
84399,6607,72689,4,13.474771231357037,Beckett tells Castle to make less noise in the woods,[6.2890904  6.84729366]
84399,7740,84781,5,13.413806766775874,Beckett tells Castle to make less noise in the woods,[6.22735009 7.75282588]
84399,3574,39520,6,13.388268324891744,Beckett tells Castle to make less noise in the woods,[6.01020653 5.89312755]
84399,5695,62537,7,13.031489661514206,Beckett tells Castle to make less noise in the woods,[5.76960438 5.8937669 ]
84399,2775,30615,8,12.772174486473176,Beckett tells Castle to make less noise in the woods,[6.57217068 6.84638338]
84399,4058,45008,9,12.58528738299527,Beckett tells Castle to make less noise in the woods,[6.41908319 4.12179073]
84399,2708,29763,10,12.543010878806102,Beckett tells Castle to make less noise in the woods,[5.52672925 6.57285378]
84399,4188,46434,11,12.315893977622174,Beckett tells Castle to make less noise in the woods,[5.66871655 6.91007641]
84399,5700,62569,12,12.226474948624448,Beckett tells Castle to make less noise in the woods,[5.95480232 6.9703627 ]
84399,6488,71448,13,11.910094093120254,Beckett tells Castle to make less noise in the woods,[5.04851445 7.46613088]
84399,2858,31491,14,11.791811761871882,Beckett tells Castle to make less noise in the woods,[5.14435728 6.56390956]
84399,4355,48159,15,11.745611935927903,Beckett tells Castle to make less noise in the woods,[5.00112627 5.96875673]
84399,3114,34321,16,11.73174576126592,Beckett tells Castle to make less noise in the woods,[4.96858693 6.26295768]
84399,7461,81838,17,11.472594525012086,Beckett tells Castle to make less noise in the woods,[4.99086144 5.97802375]
84399,13,253,18,11.42628323041571,Beckett tells Castle to make less noise in the woods,[5.12942935 6.32154503]
84399,1775,19709,19,11.352236607733879,Beckett tells Castle to make less noise in the woods,[4.9534483 5.9049999]
84399,3286,36359,20,11.316830555377402,Beckett tells Castle to make less noise in the woods,[4.70306737 7.44246398]
84399,3647,40231,21,11.27858773633436,Beckett tells Castle to make less noise in the woods,[5.63694392 4.53166948]
84399,2598,28488,22,11.1907220720686,Beckett tells Castle to make less noise in the woods,[4.68674968 6.16429951]
84399,3049,33602,23,11.110970498703068,Beckett tells Castle to make less noise in the woods,[5.28566118 4.43682873]
84399,2044,22452,24,10.990236209895453,Beckett tells Castle to make less noise in the woods,[4.71134662 6.30504641]
84399,1651,18252,25,10.741517974342864,Beckett tells Castle to make less noise in the woods,[4.43417283 5.44317883]
84399,6134,67416,26,10.721969771047869,Beckett tells Castle to make less noise in the woods,[5.32876638 4.59611318]
84399,5469,60113,27,10.581219125641375,Beckett tells Castle to make less noise in the woods,[4.38347753 5.95961364]
84399,6673,73413,28,10.578178403289105,Beckett tells Castle to make less noise in the woods,[4.42110004 6.13702915]
84399,2586,28365,29,10.47879729780529,Beckett tells Castle to make less noise in the woods,[5.11012861 2.56418612]
84399,4747,52348,30,10.440598540449809,Beckett tells Castle to make less noise in the woods,[5.05152362 4.28581895]
84399,3029,33411,31,10.42829029543738,Beckett tells Castle to make less noise in the woods,[4.41567691 5.90681162]
84399,10,213,32,10.368339041820327,Beckett tells Castle to make less noise in the woods,[4.91094847 5.06380531]
84399,636,7237,33,10.345259696666286,Beckett tells Castle to make less noise in the woods,[4.43497921 5.66562662]
84399,5534,60746,34,10.327135479616832,Beckett tells Castle to make less noise in the woods,[4.87764116 4.48561196]
84399,811,9227,35,10.29741230793916,Beckett tells Castle to make less noise in the woods,[4.19689897 5.94131149]
84399,1617,17900,36,10.293970164053,Beckett tells Castle to make less noise in the woods,[5.17771805 4.41515794]
84399,4038,44786,37,10.277581564876794,Beckett tells Castle to make less noise in the woods,[4.76096845 4.67288627]
84399,6717,73884,38,10.264081296055188,Beckett tells Castle to make less noise in the woods,[4.80807647 4.92389294]
84399,3900,43177,39,10.259393597528792,Beckett tells Castle to make less noise in the woods,[4.22443731 6.81171019]
84399,6452,71095,40,10.258537069405161,Beckett tells Castle to make less noise in the woods,[4.76507292 4.75883268]
84399,5672,62247,41,10.240330841494696,Beckett tells Castle to make less noise in the woods,[4.37143439 5.56679986]
84399,7700,84334,42,10.240095736503353,Beckett tells Castle to make less noise in the woods,[4.79824439 4.92670648]
84399,1002,11364,43,10.235571141806428,Beckett tells Castle to make less noise in the woods,[4.84111253 3.07466374]
84399,2695,29578,44,10.217708066749257,Beckett tells Castle to make less noise in the woods,[5.05739303 4.62440239]
84399,262,2714,45,10.18389014876546,Beckett tells Castle to make less noise in the woods,[4.15463971 5.89263258]
84399,5108,56187,46,10.181953080433514,Beckett tells Castle to make less noise in the woods,[4.2220551  5.91221028]
84399,3885,42970,47,10.162054099683676,Beckett tells Castle to make less noise in the woods,[4.69560244 4.4226975 ]
84399,4010,44500,48,10.091149060575741,Beckett tells Castle to make less noise in the woods,[4.12553039 5.90672996]
84399,5844,64171,49,10.033536384374255,Beckett tells Castle to make less noise in the woods,[4.11692199 5.50629595]
84399,3506,38780,50,10.004050019864614,Beckett tells Castle to make less noise in the woods,[4.61273457 3.39778041]
84399,5324,58418,51,9.97620258477255,Beckett tells Castle to make less noise in the woods,[4.76143818 6.42629423]
84399,5719,62819,52,9.937400648654005,Beckett tells Castle to make less noise in the woods,[4.60659948 3.39972702]
84399,6554,72053,53,9.895095436120972,Beckett tells Castle to make less noise in the woods,[4.47579149 4.48371139]
84399,2258,24807,54,9.842140063229982,Beckett tells Castle to make less noise in the woods,[4.40671476 4.70461979]
84399,4342,48018,55,9.783366463587232,Beckett tells Castle to make less noise in the woods,[4.41404895 3.60288901]
84399,2916,32170,56,9.760324469109726,Beckett tells Castle to make less noise in the woods,[4.31287492 4.35397449]
84399,7519,82390,57,9.746434476272043,Beckett tells Castle to make less noise in the woods,[3.91573488 5.336514  ]
84399,7118,78048,58,9.64206580770809,Beckett tells Castle to make less noise in the woods,[4.28018215 4.50105397]
84399,3398,37490,59,9.633119783588981,Beckett tells Castle to make less noise in the woods,[4.30745014 4.51564408]
84399,900,10274,60,9.61101501264305,Beckett tells Castle to make less noise in the woods,[4.4244283  4.75841889]
84399,1961,21588,61,9.60499458341516,Beckett tells Castle to make less noise in the woods,[4.74177631 4.44634612]
84399,3330,36709,62,9.598666651107193,Beckett tells Castle to make less noise in the woods,[3.84001021 5.28155708]
84399,6329,69615,63,9.591312841680423,Beckett tells Castle to make less noise in the woods,[4.31511015 4.91711551]
84399,5436,59771,64,9.572739953285911,Beckett tells Castle to make less noise in the woods,[4.23817364 3.73206054]
84399,3230,35809,65,9.562035327879247,Beckett tells Castle to make less noise in the woods,[4.19390567 4.49841181]
84399,380,4156,66,9.539027287611455,Beckett tells Castle to make less noise in the woods,[4.17994572 4.6756041 ]
84399,6293,69223,67,9.5300032081988,Beckett tells Castle to make less noise in the woods,[4.23057822 4.51202988]
84399,2683,29415,68,9.520432127867752,Beckett tells Castle to make less noise in the woods,[4.19002558 4.4984824 ]
84399,3236,35835,69,9.502223953741959,Beckett tells Castle to make less noise in the woods,[4.23158114 3.73235917]
84399,3541,39177,70,9.462153834908449,Beckett tells Castle to make less noise in the woods,[4.08975901 4.36953047]
84399,6843,75123,71,9.462153834908449,Beckett tells Castle to make less noise in the woods,[4.08975901 4.36953047]
